CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,TotalRevenue,TotalProfit,CostPressure,ChannelLeverage,GrowthMomentum,Cluster,GrowthPotentialScore,Recommendation,ClusterLabel
Burgers,25731,Urban Burgers House,Cafe,North Shore,0.6666666666666679,43.97,668,197,8662.09,212,118,141,9321.64,5188.46,6199.77,0.2087414306961,0.366171811125241,0.28,11,3.25,458.25,3682.14,1352.45,752.78,2177.19,0.42,0.45,0.25,0.3,29371.96,0.48340827327355695,0.574913241821341,0.4999999999999998,688.04,3,0.5600299759760899,Optimize Operations,High Growth Scalable Leaders
Burgers,25123,Urban Burgers Diner,QSR,South Auckland,1.0,40.45,1388,259,10476.55,508,282,339,20548.6,11406.9,13712.55,0.248216602616012,0.407612904394045,0.28,16,4.72,1600.08,3605.72,1318.61,731.99,3119.38,0.23,0.45,0.25,0.3,56144.59999999999,0.5050034357271427,0.655829507010057,0.4999999999999998,1457.4,0,0.7020013742908571,Optimize Operations,High Revenue Leaders
Burgers,25177,King Burgers Eatery,Cafe,West Auckland,0.8333333333333357,40.03,1717,524,20975.72,537,298,358,21496.11,11928.94,14330.74,0.219687956366688,0.407931713876314,0.3,11,3.25,1163.5,7810.95,1555.9,863.42,4172.99,0.44,0.45,0.25,0.3,68731.51000000001,0.6548272299147071,0.627619670243002,0.4999999999999998,1785.68,0,0.6952642252992172,Optimize Operations,High Revenue Leaders
Burgers,25540,Classic Burgers Tavern,QSR,North Shore,0.6666666666666679,36.28,1083,216,7836.48,390,217,260,14149.2,7872.76,9432.8,0.237290996648371,0.437815106310882,0.33,3,0.89,231.4,2546.02,-72.25,-40.2,2833.26,0.25,0.45,0.25,0.3,39291.240000000005,0.4115860014019789,0.675106102959253,0.4999999999999998,1115.49,3,0.5313010672274587,Optimize Operations,High Growth Scalable Leaders
Burgers,25258,Lucky Burgers Bistro,Cafe,South Auckland,1.0,34.34,1230,261,8962.74,436,242,291,14972.24,8310.28,9992.94,0.221437567938119,0.433456663764082,0.33,9,2.66,774.06,3093.09,226.17,125.53,2674.56,0.27,0.45,0.25,0.3,42238.200000000004,0.434282832892142,0.654894231702201,0.4999999999999998,1291.5,0,0.6737131331568568,Optimize Operations,High Revenue Leaders
Burgers,26138,King Burgers Kitchen,QSR,North Shore,0.6666666666666679,36.88,827,160,5900.8,300,167,200,11064.0,6158.96,7376.0,0.265131494924426,0.395680021704175,0.29,13,3.84,768.0,2001.48,544.22,302.95,1733.85,0.24,0.45,0.25,0.3,30499.76,0.39336693006797696,0.660811516628601,0.4999999999999998,851.8100000000001,3,0.524013438693858,Optimize Operations,High Growth Scalable Leaders
Burgers,25396,Urban Burgers Eatery,QSR,South Auckland,1.0,46.32,881,176,8152.32,317,176,212,14683.44,8152.32,9819.84,0.224100138861686,0.372992298309691,0.28,7,2.07,438.84,3284.63,1804.71,1001.98,3517.65,0.25,0.45,0.25,0.3,40807.92,0.5271877701425326,0.597092437171377,0.4999999999999998,925.0500000000001,3,0.710875108057013,Optimize Operations,High Growth Scalable Leaders
Burgers,25087,Urban Burgers Tavern,Ghost Kitchen,CBD,0.0,34.74,800,72,2501.28,328,182,218,11394.72,6322.68,7573.32,0.285647804650944,0.293128232413437,0.31,18,5.31,1157.58,1053.6,1267.37,703.23,2032.48,0.1,0.45,0.25,0.3,27792.0,0.40599113073893545,0.5787760370643811,0.4999999999999998,792.0,2,0.2623964522955742,Reduce Costs,Stable Local Performers
Burgers,25125,Classic Burgers Tavern,Cafe,CBD,0.0,32.79,612,152,4984.08,207,115,138,6787.53,3770.85,4525.02,0.279599561002105,0.3755833853269,0.3,8,2.36,325.68,1718.6,304.2,169.0,1234.62,0.33,0.45,0.25,0.3,20067.480000000003,0.36258835249894894,0.655182946329005,0.4999999999999998,605.88,2,0.24503534099957952,Reduce Costs,Stable Local Performers
Burgers,25762,Lucky Burgers Cafe,QSR,South Auckland,1.0,36.07,572,128,4616.96,200,111,133,7214.0,4003.77,4797.31,0.22032218426466,0.43025645299349,0.27,11,3.25,432.25,1613.26,572.95,317.98,1244.03,0.29,0.45,0.25,0.3,20632.04,0.37115570619567684,0.65057863725815,0.4999999999999998,600.6,3,0.6484622824782708,Optimize Operations,High Growth Scalable Leaders
Burgers,25009,Lucky Burgers Eatery,Cafe,South Auckland,1.0,45.34,1036,274,12423.16,343,190,229,15551.62,8614.6,10382.86,0.267623493429273,0.392365170945413,0.31,13,3.84,879.36,4224.02,466.72,258.54,2650.93,0.36,0.45,0.25,0.3,46972.24,0.47370810136739533,0.659988664374686,0.4999999999999998,1087.8,3,0.6894832405469581,Optimize Operations,High Growth Scalable Leaders
